Waktu,Objek,Lat_Laptop,Lon_Laptop,Lat_Modul,Lon_Modul
2025-05-14 20:03:21,"person, person",-7.2492,112.7508,,
2025-05-14 20:03:22,"person, person",-7.2492,112.7508,,
2025-05-14 20:03:22,"person, person, tie",-7.2492,112.7508,,
2025-05-14 20:03:23,"person, person",-7.2492,112.7508,,
2025-05-14 20:03:23,"person, person",-7.2492,112.7508,,
2025-05-14 20:03:24,"person, person",-7.2492,112.7508,,
2025-05-14 20:03:24,"person, person",-7.2492,112.7508,,
2025-05-14 20:03:25,"person, person, person",-7.2492,112.7508,,
2025-05-14 20:03:26,"person, person",-7.2492,112.7508,,
2025-05-14 20:03:26,"person, person",-7.2492,112.7508,,
2025-05-14 20:03:27,"person, person",-7.2492,112.7508,,
2025-05-14 20:03:27,"person, person",-7.2492,112.7508,,
2025-05-14 20:03:28,"person, person",-7.2492,112.7508,,
2025-05-14 20:03:28,"person, person",-7.2492,112.7508,,
2025-05-14 20:03:29,"person, person",-7.2492,112.7508,,
2025-05-14 20:03:30,"person, person",-7.2492,112.7508,,
2025-05-14 20:03:30,"person, person, person",-7.2492,112.7508,,
2025-05-14 20:03:31,"person, person",-7.2492,112.7508,,
2025-05-14 20:03:31,"person, person, person",-7.2492,112.7508,,
2025-05-14 20:03:32,"person, person",-7.2492,112.7508,,
2025-05-14 20:03:33,"person, person",-7.2492,112.7508,,
2025-05-14 20:03:33,"person, person",-7.2492,112.7508,,
2025-05-14 20:03:34,"person, person",-7.2492,112.7508,,
2025-05-14 20:03:35,"person, person",-7.2492,112.7508,,
2025-05-14 20:03:35,"person, person",-7.2492,112.7508,,
2025-05-14 20:03:36,"person, person",-7.2492,112.7508,,
2025-05-14 20:03:37,"person, person",-7.2492,112.7508,,
2025-05-14 20:03:37,"person, person",-7.2492,112.7508,,
2025-05-14 20:03:38,person,-7.2492,112.7508,,
2025-05-14 20:03:38,,-7.2492,112.7508,,
2025-05-14 20:03:39,,-7.2492,112.7508,,
2025-05-14 20:03:39,,-7.2492,112.7508,,
2025-05-14 20:03:40,,-7.2492,112.7508,,
2025-05-14 20:03:40,,-7.2492,112.7508,,
2025-05-14 20:03:41,,-7.2492,112.7508,,
2025-05-14 20:03:42,,-7.2492,112.7508,,
2025-05-14 20:03:42,,-7.2492,112.7508,,
2025-05-14 20:03:43,,-7.2492,112.7508,,
